mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					p									
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	1.0		
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	0										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	1										
1	1	2	2	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	2										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	3										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	4										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	5										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	6										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	7										
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	8										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	9										
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	10										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	11										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	12										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	13										
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	14										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	15										
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	16										
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	17										
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	18										
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	19										
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	20										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	21										
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	22										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	23										
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	24										
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	25										
4	4	14	14	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	26										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	27										
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	28										
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	29										
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	30										
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	31										
5	5	16	16	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	32										
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	33										
5	5	18	18	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	34										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	35										
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	36										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	37										
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	38										
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	39										
6	6	20	20	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	40										
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	41										
6	6	22	22	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	42										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	43										
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	44										
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	45										
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	46										
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	47										
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	48									0	
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	49										
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	50										
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	51									1	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	52										
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	53										
