mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	1/4	Dynamic	2/4	1	1	0					p										
1	0	0	0	0.0	0	1/4	StaffText	2/4	1	1	0							"<font size=""11.5335""/><font face=""Times New Roman""/><b>Rondo</b>"								
1	0	0	0	0.0	0	1/4	StaffText	2/4	1	1	0							"<font size=""11.5335""/><font face=""Times New Roman""/><b>Allegretto</b>"								
1	0	0	0	0.0	0	1/4	Tempo	2/4	1	1	0								𝅘𝅥=116	116.0	𝅘𝅥	116.0	0.0			
1	0	0	0	0.5	0	1/4	Chord	2/4	1	1	1/8		1/8	1	0		articStaccatoAbove									
1	0	1/2	1/2	0.5	1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1		articStaccatoAbove									
1	0	0	0	0.25	0	1/4	Chord	2/4	2	1	1/16		1/16	1	2											
1	0	1/4	1/4	0.25	1/16	5/16	Chord	2/4	2	1	1/16		1/16	1	3											
1	0	1/2	1/2	0.25	1/8	3/8	Chord	2/4	2	1	1/16		1/16	1	4											
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	2	1	1/16		1/16	1	5											
2	1	1	1	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	6		articStaccatoAbove									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	7		articStaccatoAbove									
2	1	2	2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	8		articStaccatoAbove									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	9		articStaccatoAbove									
2	1	1	1	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	10											
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	11											
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	12											
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	13											
2	1	2	2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	14											
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	15											
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	16											
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	17											
3	2	3	3	0.0	0	0	Dynamic	2/4	1	1	0					fz										
3	2	3	3	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	18											
3	2	4	4	0.375	1/4	1/4	Chord	2/4	1	1	3/32		1/16	3/2	19											
